Engine_Temp,Oil_Pressure,RPM,Mileage,Failure
100,32,2366,97073,1
104,21,2467,182304,1
102,24,3145,110682,1
90,21,2473,177798,1
101,15,2341,176894,1
92,37,2461,94289,0
102,35,2441,195359,1
72,33,3300,87927,0
87,30,2526,128330,0
94,33,1584,146707,0
111,18,3317,157454,2
100,32,1827,187439,1
72,16,2315,184646,1
109,15,2973,145428,2
115,29,1953,130601,1
93,19,3447,157465,1
119,34,2128,82539,1
101,25,2744,182263,1
116,24,2677,191487,1
91,16,2164,102669,1
92,17,1511,150968,1
71,37,2656,100644,0
96,37,1803,98745,1
111,26,2816,108228,1
71,34,2474,198358,0
95,19,2823,114521,1
86,19,3263,177239,1
109,20,2282,106928,1
102,23,1542,98322,1
78,16,2443,137714,1
112,35,1842,167896,1
117,26,2849,142292,1
108,17,3337,109055,2
98,34,1997,122891,1
111,36,1863,161912,1
95,26,2390,86588,0
104,38,1926,170536,1
119,31,2504,86304,1
94,24,1520,87345,1
93,38,1906,109300,0
82,28,2118,104259,0
76,37,2514,171006,0
105,31,1835,168553,1
114,32,3338,95352,1
89,33,2640,113365,0
70,31,2647,99446,0
77,28,1898,82336,0
115,23,2292,142032,1
85,22,3327,155415,1
83,16,2214,177852,1
81,27,1550,178876,0
92,39,3306,87521,0
84,21,1823,151707,1
97,23,2288,103481,1
103,36,1640,98474,1
71,36,1969,126760,0
101,25,2286,135718,1
92,28,3325,124629,0
91,18,2857,125232,1
94,27,3416,166544,0
91,16,2463,147169,1
91,37,2507,130669,0
118,19,1872,158021,2
111,25,3087,189153,1
75,20,1993,149184,1
84,32,3062,127945,0
112,35,3192,93140,1
106,24,2250,163457,1
102,18,2679,94357,1
77,23,1790,191672,1
113,20,3171,148673,1
113,16,2667,145633,2
74,31,1605,156943,0
108,19,2943,176111,2
73,39,2169,158258,0
75,20,3181,92924,1
114,26,1501,149286,1
101,37,3468,173269,1
99,35,2088,154071,1
116,24,2143,137326,1
104,36,1589,170023,1
109,35,2868,110651,1
85,39,1849,150202,0
82,20,2982,128777,1
119,22,2786,96994,1
111,16,2874,147263,2
99,26,2631,139634,1
88,27,3109,180158,0
86,39,2562,90800,0
88,35,2408,117823,0
97,21,1658,188575,1
95,24,3106,143878,1
106,27,2458,98708,1
95,31,1811,92819,0
92,35,2764,154905,0
78,28,3461,143870,0
81,16,1944,89283,1
70,36,1797,110573,0
70,25,2451,158707,0
116,15,1535,110933,2
103,33,2607,85774,1
101,35,2975,152055,1
117,18,3409,90983,2
94,33,3298,176468,0
109,35,3345,176334,1
114,25,2908,98133,1
70,22,2695,94939,1
85,25,2899,80781,0
108,18,3208,194586,2
74,31,2885,136700,0
91,21,2058,107624,1
98,22,2390,86823,1
72,17,1640,98489,1
81,36,2386,198555,0
95,16,3441,119961,1
85,37,2641,199664,0
106,29,2800,109118,1
91,38,2225,180417,0
98,36,2743,161816,1
83,36,3428,102263,0
97,19,2549,93565,1
74,38,2020,100354,0
116,15,3306,122951,2
118,18,1509,171179,2
99,29,2483,103648,1
115,34,1877,130729,1
74,33,3156,121971,0
81,17,3160,98658,1
85,34,2181,101253,0
95,25,2083,144166,0
95,31,1651,128563,0
117,27,2219,106390,1
90,25,2572,168664,0
108,16,2677,131578,2
105,23,2358,159025,1
102,16,2816,183850,1
99,35,3103,112658,1
106,23,1549,86852,1
92,23,2163,174986,1
79,22,2030,82551,1
74,31,3135,151947,0
105,15,2583,141001,1
103,39,2690,129159,1
100,25,2725,131707,1
79,22,2356,113243,1
88,24,1645,101800,1
101,39,2414,155939,1
70,21,3199,137828,1
74,17,3493,87239,1
114,17,2492,86710,2
73,32,2962,101384,0
85,19,1741,101038,1
93,26,2080,120846,0
85,26,2186,167983,0
71,33,3084,147821,0
118,20,1982,117991,1
97,16,2631,159057,1
101,26,2749,193193,1
96,33,2172,86971,1
89,19,2130,109139,1
93,26,2160,165445,0
81,31,2161,157067,0
119,31,2955,160257,1
104,24,2304,164742,1
102,39,3178,117711,1
102,37,1918,86530,1
112,31,2487,91116,1
106,29,2978,145794,1
81,26,2683,80282,0
72,30,3046,159473,0
70,38,2149,81898,0
102,33,2468,84135,1
109,22,2089,86629,1
79,35,2600,189472,0
112,31,2008,165120,1
113,37,1940,199798,1
98,19,2777,169087,1
82,36,2420,145031,0
81,30,2269,113380,0
100,20,2843,192507,1
115,22,3326,97071,1
71,39,1762,100074,0
119,32,3120,170724,1
104,39,3181,147843,1
92,26,3358,119901,0
86,29,3077,91205,0
95,23,2897,135661,1
77,27,2136,85906,0
98,29,2690,82591,1
95,24,3460,142987,1
79,30,3276,143370,0
95,21,1958,160685,1
103,31,2498,190454,1
110,37,2803,185487,1
76,35,2199,134400,0
73,36,1801,105150,0
119,21,3054,111852,1
114,28,3103,122870,1
80,29,2741,199796,0
98,35,2625,132756,1
105,21,2053,195357,1
94,23,1787,199052,1
90,33,2690,136481,0
105,30,2120,81283,1
79,22,2505,113691,1
106,32,1535,81125,1
78,37,2243,147065,0
93,32,3264,106170,0
104,34,1852,88438,1
118,21,3199,100095,1
104,17,3422,96154,1
117,32,1572,88004,1
105,24,2147,89752,1
87,21,2876,135426,1
118,31,3414,188896,1
108,28,2593,106819,1
101,38,1924,182168,1
93,17,2498,172051,1
92,26,2207,104217,0
101,27,3304,168708,1
106,16,2060,112994,2
81,17,2327,95036,1
118,19,3165,157275,2
82,25,2455,177756,0
92,22,2016,129416,1
94,37,1927,89587,0
104,37,3062,190053,1
110,26,1659,175665,1
99,21,1648,80645,1
86,29,2275,110930,0
118,38,2753,161835,1
89,31,3235,110090,0
117,18,3085,167489,2
94,36,1566,132142,0
91,39,2513,191979,0
82,27,3335,106475,0
88,32,1880,98888,0
118,15,1557,123732,2
105,30,2782,161623,1
81,27,1841,126305,0
110,24,3361,126037,1
88,26,2653,89346,0
81,16,2226,80587,1
78,37,2695,92763,0
76,17,2269,139165,1
97,24,2113,187481,1
83,16,2732,149615,1
100,37,3326,116116,1
88,27,1853,165751,0
116,27,2994,171353,1
85,32,3321,170301,0
74,17,1615,175648,1
104,21,2787,105556,1
81,28,2161,139042,0
94,34,3335,98099,0
90,31,2965,189089,0
105,35,3071,125096,1
92,26,1952,151986,0
85,39,3368,93230,0
108,30,3000,109009,1
114,38,1786,150969,1
111,26,2826,113866,1
108,29,2516,185400,1
83,39,1810,164246,0
100,24,1707,156975,1
74,39,2117,121855,0
104,21,1945,161557,1
92,34,2169,86416,0
98,19,2132,152516,1
112,15,1554,135915,2
80,31,2411,98058,0
87,17,2535,156637,1
116,27,2156,120718,1
81,28,2923,112602,0
78,38,3431,154658,0
79,32,3171,158112,0
113,18,2479,138067,2
86,32,2014,107516,0
107,19,3179,167969,2
76,39,3065,81089,0
115,30,1736,117346,1
82,15,2802,154663,1
109,35,1847,90487,1
111,28,2126,80155,1
78,29,2627,147494,0
119,23,2129,156229,1
96,29,3040,184648,1
71,31,3395,118547,0
74,39,2771,108795,0
98,38,1863,135296,1
106,18,1820,101447,2
107,26,3156,116598,1
88,19,1785,121814,1
77,19,1648,170751,1
117,25,2607,155330,1
114,20,3489,178745,1
70,21,1905,167960,1
91,38,2477,143278,0
86,28,1955,135077,0
76,38,3266,192782,0
94,25,2299,182932,0
114,27,2684,151906,1
73,16,2512,89528,1
105,39,2283,173812,1
75,21,1959,130100,1
100,34,3073,189869,1
88,18,3023,88179,1
113,22,2237,128781,1
108,34,2008,135267,1
96,36,3177,162379,1
79,35,3327,103952,0
95,33,1980,133798,0
88,27,3186,178696,0
108,28,1613,190434,1
72,24,2248,130939,1
114,25,3101,109516,1
82,16,1860,136526,1
119,39,1840,90449,1
97,23,2269,130290,1
89,31,2260,166661,0
97,17,2468,152954,1
77,38,1948,102746,0
110,20,3366,147990,1
108,19,2334,138810,2
70,19,2703,198362,1
72,36,3225,163297,0
82,29,2930,95223,0
97,37,3189,152237,1
118,31,2719,82597,1
94,23,2989,145677,1
102,17,1810,82659,1
107,34,1761,166516,1
75,31,2942,154567,0
113,24,1905,95037,1
114,17,3462,126738,2
101,32,1642,183965,1
114,32,1841,151678,1
116,31,2839,92109,1
90,38,2624,102010,0
85,17,1743,88787,1
90,17,1989,188400,1
80,20,1511,88472,1
106,27,2762,195111,1
105,38,2060,103383,1
104,29,1541,141709,1
88,39,2177,149785,0
89,23,2093,193253,1
87,18,2952,114518,1
116,28,3326,133909,1
110,19,2681,98351,2
118,16,2739,149624,2
83,25,3193,133330,0
84,23,2985,95282,1
100,38,1633,164866,1
70,17,2590,187945,1
72,23,3371,101778,1
85,17,2530,104264,1
92,39,2447,139675,0
80,16,3049,85075,1
81,26,1572,155948,0
79,24,1898,128454,1
101,23,2928,108365,1
85,29,3198,152766,0
77,22,2077,128200,1
107,39,2358,91002,1
81,19,1629,93947,1
93,25,2430,159222,0
97,16,2989,174840,1
77,38,2729,196219,0
97,29,3311,158610,1
105,20,3291,132142,1
95,22,1765,136307,1
77,19,3060,84493,1
119,30,3485,130085,1
97,32,2292,114228,1
97,20,1752,159676,1
106,19,2321,131875,2
110,30,2812,111655,1
105,27,1663,123472,1
96,19,1594,129437,1
86,27,3305,129416,0
78,31,2332,139711,0
102,32,2633,86816,1
89,22,1835,157175,1
82,27,2321,144307,0
97,33,1737,192728,1
117,17,1880,126733,2
98,38,2959,175028,1
82,22,2398,196450,1
115,16,1982,91240,2
104,22,3460,178234,1
75,27,2401,172493,0
87,27,2548,178344,0
74,15,3176,151363,1
116,20,2640,112762,1
94,38,1981,88259,0
71,33,2915,130139,0
79,30,2416,94849,0
99,22,2493,161768,1
119,15,2463,186108,2
114,30,2036,169709,1
74,23,2602,134869,1
102,27,3103,143095,1
70,25,2696,197886,0
87,27,3479,150910,0
101,39,2535,166710,1
116,35,3323,103567,1
118,24,1627,115292,1
80,18,3131,154813,1
90,20,1591,177136,1
95,21,3176,131631,1
94,19,2042,89885,1
91,25,2345,139659,0
96,27,3055,134306,1
118,39,3181,146314,1
82,33,2488,145087,0
102,37,3351,109165,1
103,24,1946,138929,1
110,24,1889,147028,1
104,25,2171,175998,1
70,35,3384,129812,0
90,21,1542,130500,1
117,32,1753,159151,1
75,18,2653,138643,1
97,16,2583,124900,1
86,28,2162,122946,0
74,27,1966,87851,0
100,26,1786,96288,1
74,21,2510,152692,1
107,16,3040,147580,2
72,27,2990,87368,0
92,28,3453,165436,0
106,31,2277,176136,1
106,23,1844,126403,1
79,31,2141,171170,0
79,22,1881,89168,1
88,16,3302,166497,1
86,38,2189,129879,0
90,27,2776,139871,0
83,17,3450,189632,1
78,30,2579,191623,0
115,20,2986,169388,1
70,33,1956,178646,0
114,21,2482,112174,1
82,24,1582,179751,1
73,23,3428,172491,1
70,16,2622,86581,1
118,29,1648,190155,1
109,19,2852,151853,2
101,36,2679,144046,1
103,18,1689,129678,1
97,34,3017,188392,1
100,18,2382,191250,1
77,32,1762,106649,0
108,18,2603,168668,2
95,31,1899,162325,0
103,26,2263,94567,1
72,36,2108,160404,0
119,31,2783,169906,1
81,24,3295,188069,1
70,36,3138,176019,0
113,15,3075,141944,2
74,36,2284,198428,0
99,38,1600,158002,1
99,32,2882,108803,1
86,32,2903,98230,0
117,28,2319,97862,1
116,29,2744,123355,1
92,26,2319,111259,0
84,18,1919,179075,1
106,17,1623,167445,2
90,34,1921,110795,0
83,26,2754,194604,0
71,21,3213,88770,1
80,25,2586,91093,0
108,15,3008,126571,2
107,20,3151,80193,1
103,29,3226,180311,1
107,29,3097,97569,1
119,33,2267,197082,1
103,25,1982,91190,1
87,37,2018,142824,0
99,16,1654,122752,1
84,28,1591,112327,0
96,16,2481,122070,1
103,18,3049,165925,1
107,31,1954,120197,1
102,17,3264,82261,1
93,27,2097,198424,0
84,23,3168,173905,1
99,21,2009,106512,1
111,29,2706,86716,1
86,37,1885,166795,0
74,25,3097,108933,0
98,34,3254,187225,1
73,16,1904,84378,1
79,29,1745,120583,0
86,28,2241,192082,0
79,34,3114,165371,0
86,36,2160,109033,0
89,25,2149,104000,0
93,17,2994,191032,1
74,31,3349,155868,0
103,26,3411,122604,1
75,38,2946,148336,0
71,35,2400,175074,0
82,29,1564,175655,0
112,30,2536,153869,1
112,19,1712,85410,2
117,34,1741,163375,1
80,20,1992,136044,1
116,33,2736,143315,1
92,39,3216,176055,0
85,19,1837,151344,1
100,17,1672,86796,1
80,15,2171,166716,1
85,20,1663,134245,1
77,29,1964,123056,0
73,16,2494,97709,1
109,17,1996,199664,2
73,31,2199,138557,0
94,39,1894,97543,0
72,38,2202,117418,0
101,26,3440,174611,1
72,32,1807,183291,0
96,29,3291,193504,1
98,26,1682,183001,1
101,30,2128,176038,1
119,22,3317,96724,1
88,28,2009,83828,0
90,39,3231,196656,0
74,31,2045,97087,0
87,35,3087,92605,0
97,22,2123,111337,1
111,29,3287,85482,1
91,28,2093,145333,0
90,32,2243,172541,0
75,34,2750,168296,0
70,21,3268,130952,1
74,17,3256,85463,1
110,26,2959,192164,1
81,35,3448,150448,0
95,38,2945,84648,0
115,17,2053,113623,2
103,34,1520,139156,1
118,28,2053,115634,1
83,29,1896,124602,0
95,39,2124,194598,0
114,28,1604,129334,1
96,21,1691,148648,1
78,31,1516,102054,0
95,26,2643,150028,0
116,34,1892,102207,1
91,18,1924,160650,1
116,23,1628,179821,1
99,20,2653,161554,1
112,30,2071,101386,1
117,39,3083,163276,1
86,36,1528,139518,0
95,36,2620,132781,0
105,35,2533,132780,1
70,35,1741,141440,0
77,16,3349,124199,1
118,38,3479,141035,1
104,22,1731,88210,1
84,25,2288,124363,0
116,27,2807,191175,1
91,31,2214,158279,0
83,22,2258,140348,1
95,35,2301,135284,0
97,32,2275,187628,1
92,32,3478,189835,0
83,28,2225,152124,0
93,29,1699,148847,0
71,20,2444,102432,1
114,25,1578,144089,1
95,27,3436,135398,0
83,39,2455,179291,0
76,15,3378,83321,1
72,20,2355,161348,1
116,23,2696,117383,1
92,22,1966,193816,1
115,25,2080,158682,1
112,36,2939,159190,1
116,33,2439,132893,1
114,38,1948,115820,1
87,23,1586,146262,1
107,31,1600,83760,1
104,26,2531,102190,1
84,39,2344,147411,0
94,28,2723,103377,0
106,29,3028,126737,1
97,30,1586,149569,1
79,36,1542,118211,0
108,36,2908,162909,1
86,34,3144,83744,0
108,15,2958,104995,2
91,24,1907,96977,1
95,22,3006,177938,1
113,32,2163,114542,1
94,15,2540,90651,1
86,16,3168,179239,1
82,15,1647,158931,1
89,15,1776,175344,1
94,23,1731,182112,1
73,27,3349,96715,0
79,15,3450,124409,1
72,27,1865,104306,0
110,34,2751,99086,1
114,36,3174,94376,1
87,21,1935,141350,1
116,16,1898,151425,2
105,20,2734,183358,1
116,21,2914,116636,1
91,28,1998,166120,0
103,32,2039,194889,1
116,29,2062,131649,1
77,16,3014,114610,1
109,24,1941,90058,1
118,37,2784,154637,1
113,26,2272,158033,1
88,31,1849,150194,0
111,22,2875,156917,1
110,25,2019,144200,1
106,17,2843,185848,2
75,20,1637,186022,1
95,23,3073,126619,1
103,20,3146,97154,1
114,23,2491,99539,1
75,21,1867,140058,1
106,23,2743,142068,1
